"","player","nationality","position","squad","age","league","goals","Season"
"1710","Saidy Janko","ch SUI","DF,MF","Saint-Étienne",21,"Ligue 1",0,"201718#"
"1711","Davide Biraschi","it ITA","DF","Genoa",23,"Serie A",0,"201718#"
"1712","Cheikh M'Bengue","sn SEN","DF","Saint-Étienne",29,"Ligue 1",0,"201718#"
"1713","Yann M'Vila","fr FRA","MF","Saint-Étienne",27,"Ligue 1",0,"201718#"
"1714","Habib Maïga","ci CIV","MF,DF","Saint-Étienne",21,"Ligue 1",1,"201718#"
"1715","Kévin Monnet-Paquet","fr FRA","FW,MF","Saint-Étienne",28,"Ligue 1",2,"201718#"
"1716","Jessy Moulin","fr FRA","GK","Saint-Étienne",31,"Ligue 1",0,"201718#"
"1717","Paul-Georges Ntep","cm CMR","FW,MF","Saint-Étienne",25,"Ligue 1",1,"201718#"
"1718","Vincent Pajot","fr FRA","MF","Saint-Étienne",26,"Ligue 1",2,"201718#"
"1719","Mauro dos Santos","ar ARG","DF","Leganés",28,"La Liga",0,"201718#"
"1720","Ronaël Pierre-Gabriel","fr FRA","DF","Saint-Étienne",19,"Ligue 1",0,"201718#"
"1721","Per Mertesacker","de GER","DF","Arsenal",32,"Premier League",1,"201718#"
"1722","Stéphane Ruffier","fr FRA","GK","Saint-Étienne",30,"Ligue 1",0,"201718#"
"1723","Gabriel Silva","br BRA","DF","Saint-Étienne",26,"Ligue 1",1,"201718#"
"1724","Oussama Tannane","ma MAR","FW,MF","Saint-Étienne",23,"Ligue 1",0,"201718#"
"1725","Berat Djimsiti","al ALB","DF","Benevento",24,"Serie A",0,"201718#"
"1726","Igor Lewczuk","pl POL","DF","Bordeaux",32,"Ligue 1",0,"201718#"
"1727","Mike Frantz","de GER","MF","Freiburg",30,"Bundesliga",0,"201718#"
"1728","Vid Belec","si SVN","GK","Sampdoria",27,"Serie A",0,"201718#"
"1729","Federico Bonazzoli","it ITA","FW","Sampdoria",20,"Serie A",0,"201718#"
"1730","Leonardo Capezzi","it ITA","MF","Sampdoria",22,"Serie A",0,"201718#"
"1731","Gianluca Caprari","it ITA","FW,MF","Sampdoria",24,"Serie A",5,"201718#"
"1732","Dawid Kownacki","pl POL","FW","Sampdoria",20,"Serie A",5,"201718#"
"1733","Petar Brlek","hr CRO","MF","Genoa",23,"Serie A",0,"201718#"
"1734","Connor Goldson","eng ENG","DF","Brighton",24,"Premier League",0,"201718#"
"1735","Nicola Murru","it ITA","DF","Sampdoria",22,"Serie A",0,"201718#"
"1736","Oghenekaro Etebo","ng NGA","MF","Las Palmas",21,"La Liga",0,"201718#"
"1737","Christian Puggioni","it ITA","GK","Sampdoria",36,"Serie A",0,"201718#"
"1738","Fabio Quagliarella","it ITA","FW","Sampdoria",34,"Serie A",19,"201718#"
"1739","Gastón Ramírez","uy URU","MF,FW","Sampdoria",26,"Serie A",3,"201718#"
"1740","Vasco Regini","it ITA","DF","Sampdoria",26,"Serie A",0,"201718#"
"1741","Jacopo Sala","it ITA","DF","Sampdoria",25,"Serie A",0,"201718#"
"1742","Uwe Hünemeier","de GER","DF","Brighton",31,"Premier League",0,"201718#"
"1743","Lucas Torreira","uy URU","MF","Sampdoria",21,"Serie A",4,"201718#"
"1744","Matty James","eng ENG","MF","Leicester City",26,"Premier League",0,"201718#"
"1745","Emiliano Viviano","it ITA","GK","Sampdoria",31,"Serie A",0,"201718#"
"1746","Duván Zapata","co COL","FW","Sampdoria",26,"Serie A",11,"201718#"
"1747","Marco Capuano","it ITA","DF","Cagliari",25,"Serie A",0,"201718#"
"1748","Claud Adjapong","it ITA","DF,MF","Sassuolo",19,"Serie A",0,"201718#"
"1749","Khouma Babacar","sn SEN","FW","Sassuolo",24,"Serie A",2,"201718#"
"1750","Domenico Berardi","it ITA","FW","Sassuolo",22,"Serie A",4,"201718#"
"1751","Emanuel Cecchini","ar ARG","MF,DF","Málaga",20,"La Liga",0,"201718#"
"1752","José Mauri","it ITA","MF","Milan",21,"Serie A",0,"201718#"
"1753","Andrea Consigli","it ITA","GK","Sassuolo",30,"Serie A",0,"201718#"
