"","player","nationality","position","squad","age","league","goals","Season"
"2195","Christoph Janker","de GER","DF,MF","Augsburg",32,"Bundesliga",0,"201718#"
"2196","Joe Hart","eng ENG","GK","West Ham",30,"Premier League",0,"201718#"
"2197","Jordan Hugill","eng ENG","FW","West Ham",25,"Premier League",0,"201718#"
"2198","Cheikhou Kouyaté","sn SEN","MF","West Ham",27,"Premier League",2,"201718#"
"2199","Manuel Lanzini","ar ARG","MF,FW","West Ham",24,"Premier League",5,"201718#"
"2200","Fabio González","es ESP","MF","Las Palmas",20,"La Liga",0,"201718#"
"2201","Arthur Masuaku","cd COD","MF,DF","West Ham",23,"Premier League",0,"201718#"
"2202","Giovanni Volpicelli","it ITA","FW","Benevento",17,"Serie A",0,"201718#"
"2203","Sergio Mora","es ESP","MF","Getafe",37,"La Liga",0,"201718#"
"2204","Olivier Verdon","bj BEN","DF","Bordeaux",21,"Ligue 1",0,"201718#"
"2205","Reece Oxford","eng ENG","MF","West Ham",18,"Premier League",0,"201718#"
"2206","David García","es ESP","DF","Las Palmas",35,"La Liga",1,"201718#"
"2207","Declan Rice","eng ENG","DF,MF","West Ham",18,"Premier League",0,"201718#"
"2208","Diafra Sakho","sn SEN","FW,MF","West Ham",27,"Premier League",2,"201718#"
"2209","Pablo Zabaleta","ar ARG","DF,MF","West Ham",32,"Premier League",0,"201718#"
"2210","Eros Schiavon","it ITA","MF,DF","SPAL",34,"Serie A",0,"201718#"
"2211","Luca Sparandeo","it ITA","DF","Benevento",17,"Serie A",0,"201718#"
"2212","Josip Brekalo","hr CRO","FW,MF","Wolfsburg",19,"Bundesliga",3,"201718#"
"2213","Florian Mayer","de GER","DF","M'Gladbach",19,"Bundesliga",0,"201718#"
"2214","Ignacio Camacho","es ESP","MF,DF","Wolfsburg",27,"Bundesliga",0,"201718#"
"2215","Koen Casteels","be BEL","GK","Wolfsburg",25,"Bundesliga",0,"201718#"
"2216","Daniel Didavi","de GER","MF,FW","Wolfsburg",27,"Bundesliga",9,"201718#"
"2217","Landry Dimata","be BEL","FW,MF","Wolfsburg",19,"Bundesliga",0,"201718#"
"2218","Rekeem Harper","eng ENG","MF","West Brom",17,"Premier League",0,"201718#"
"2219","Mario Gómez","de GER","FW","Wolfsburg",32,"Bundesliga",1,"201718#"
"2220","Josuha Guilavogui","fr FRA","MF","Wolfsburg",26,"Bundesliga",3,"201718#"
"2221","Kaylen Hinds","eng ENG","MF,FW","Wolfsburg",19,"Bundesliga",0,"201718#"
"2222","Alessandro Buongiorno","it ITA","DF","Torino",18,"Serie A",0,"201718#"
"2223","Sebastian Jung","de GER","DF","Wolfsburg",27,"Bundesliga",0,"201718#"
"2224","Christian Rutjens","0","0","Benevento",0,"Serie A",0,"201718#"
"2225","Admir Mehmedi","ch SUI","FW,MF","Wolfsburg",26,"Bundesliga",1,"201718#"
"2226","Paul-Georges Ntep","cm CMR","FW,MF","Wolfsburg",25,"Bundesliga",0,"201718#"
"2227","Divock Origi","be BEL","FW","Wolfsburg",22,"Bundesliga",6,"201718#"
"2228","Victor Osimhen","ng NGA","FW,MF","Wolfsburg",18,"Bundesliga",0,"201718#"
"2229","Renato Steffen","ch SUI","FW,MF","Wolfsburg",25,"Bundesliga",0,"201718#"
"2230","Paul Jaeckel","de GER","DF","Wolfsburg",19,"Bundesliga",0,"201718#"
"2231","Paul Verhaegh","nl NED","DF","Wolfsburg",33,"Bundesliga",2,"201718#"
"2232","William","br BRA","DF","Wolfsburg",22,"Bundesliga",0,"201718#"
