"","home","away","HG","AG"
"213","Leverkusen","RB Leipzig",0,1
"214","Leverkusen","Schalke 04",2,1
"215","Leverkusen","Stuttgart",9,4
"216","Leverkusen","Union Berlin",3,3
"217","Leverkusen","Werder Bremen",1,1
"218","Leverkusen","Wolfsburg",0,3
"219","M'Gladbach","Arminia",8,1
"220","M'Gladbach","Augsburg",3,2
"221","M'Gladbach","Bayern Munich",4,3
"222","M'Gladbach","Bochum",2,1
"223","M'Gladbach","Dortmund",5,2
"224","M'Gladbach","Eint Frankfurt",6,3
"225","M'Gladbach","Freiburg",2,7
"226","M'Gladbach","Greuther Fürth",4,0
"227","M'Gladbach","Hertha BSC",2,0
"228","M'Gladbach","Hoffenheim",5,1
"229","M'Gladbach","Köln",2,5
"230","M'Gladbach","Leverkusen",1,3
"231","M'Gladbach","Mainz 05",2,3
"232","M'Gladbach","RB Leipzig",3,1
"233","M'Gladbach","Stuttgart",2,3
"234","M'Gladbach","Union Berlin",1,2
"235","M'Gladbach","Werder Bremen",1,0
"236","M'Gladbach","Wolfsburg",2,2
"237","Mainz 05","Arminia",5,1
"238","Mainz 05","Augsburg",4,2
"239","Mainz 05","Bayern Munich",5,2
"240","Mainz 05","Bochum",1,0
"241","Mainz 05","Dortmund",1,4
"242","Mainz 05","Eint Frankfurt",2,4
"243","Mainz 05","Freiburg",1,0
"244","Mainz 05","Greuther Fürth",3,0
"245","Mainz 05","Hertha BSC",5,1
"246","Mainz 05","Hoffenheim",2,0
"247","Mainz 05","Köln",1,1
"248","Mainz 05","Leverkusen",3,2
"249","Mainz 05","M'Gladbach",1,1
"250","Mainz 05","RB Leipzig",4,2
"251","Mainz 05","Stuttgart",0,0
"252","Mainz 05","Union Berlin",2,2
"253","Mainz 05","Wolfsburg",3,2
"254","RB Leipzig","Arminia",0,2
"255","RB Leipzig","Augsburg",6,1
"256","RB Leipzig","Bayern Munich",1,5
"257","RB Leipzig","Bochum",3,0
"258","RB Leipzig","Dortmund",3,4
"259","RB Leipzig","Eint Frankfurt",1,1
"260","RB Leipzig","Freiburg",1,1
"261","RB Leipzig","Greuther Fürth",4,1
"262","RB Leipzig","Hertha BSC",6,0
"263","RB Leipzig","Hoffenheim",3,0
"264","RB Leipzig","Köln",3,1
"265","RB Leipzig","Leverkusen",2,3
"266","RB Leipzig","M'Gladbach",7,3
"267","RB Leipzig","Mainz 05",4,1
"268","RB Leipzig","Stuttgart",6,0
"269","RB Leipzig","Union Berlin",2,2
"270","RB Leipzig","Wolfsburg",4,2
"271","Schalke 04","Augsburg",1,0
"272","Schalke 04","Bayern Munich",0,4
"273","Schalke 04","Dortmund",0,4
"274","Schalke 04","Eint Frankfurt",4,3
"275","Schalke 04","Hertha BSC",1,2
"276","Schalke 04","Hoffenheim",4,0
"277","Schalke 04","Köln",1,2
"278","Schalke 04","M'Gladbach",0,3
"279","Schalke 04","Mainz 05",0,0
"280","Schalke 04","RB Leipzig",0,3
"281","Stuttgart","Arminia",0,3
"282","Stuttgart","Augsburg",5,3
"283","Stuttgart","Bayern Munich",0,5
"284","Stuttgart","Bochum",1,1
"285","Stuttgart","Dortmund",2,5
"286","Stuttgart","Eint Frankfurt",2,3
"287","Stuttgart","Freiburg",2,3
"288","Stuttgart","Greuther Fürth",5,1
"289","Stuttgart","Hertha BSC",3,3
"290","Stuttgart","Hoffenheim",5,1
"291","Stuttgart","Köln",2,1
"292","Stuttgart","Leverkusen",1,3
"293","Stuttgart","M'Gladbach",5,4
"294","Stuttgart","Mainz 05",4,1
"295","Stuttgart","RB Leipzig",0,3
"296","Stuttgart","Schalke 04",5,1
"297","Stuttgart","Union Berlin",1,1
"298","Stuttgart","Werder Bremen",1,0
"299","Stuttgart","Wolfsburg",2,4
"300","Union Berlin","Arminia",1,0
"301","Union Berlin","Augsburg",0,0
"302","Union Berlin","Bayern Munich",2,5
"303","Union Berlin","Bochum",3,2
"304","Union Berlin","Dortmund",0,3
"305","Union Berlin","Eint Frankfurt",2,0
"306","Union Berlin","Freiburg",0,0
"307","Union Berlin","Greuther Fürth",1,1
"308","Union Berlin","Hertha BSC",3,1
"309","Union Berlin","Hoffenheim",3,2
"310","Union Berlin","Köln",3,1
"311","Union Berlin","Leverkusen",2,1
"312","Union Berlin","M'Gladbach",3,2
"313","Union Berlin","Mainz 05",3,1
"314","Union Berlin","RB Leipzig",4,2
"315","Union Berlin","Schalke 04",0,0
"316","Union Berlin","Stuttgart",3,2
"317","Union Berlin","Werder Bremen",3,1
"318","Union Berlin","Wolfsburg",4,2
"319","Werder Bremen","Augsburg",2,0
"320","Werder Bremen","Bayern Munich",1,3
"321","Werder Bremen","Eint Frankfurt",2,1
"322","Werder Bremen","Freiburg",0,0
"323","Werder Bremen","Leverkusen",0,0
"324","Werder Bremen","M'Gladbach",2,4
"325","Werder Bremen","Mainz 05",0,1
"326","Werder Bremen","RB Leipzig",1,4
"327","Werder Bremen","Schalke 04",1,1
"328","Werder Bremen","Union Berlin",0,2
"329","Werder Bremen","Wolfsburg",1,2
"330","Wolfsburg","Arminia",4,0
"331","Wolfsburg","Augsburg",1,0
"332","Wolfsburg","Bayern Munich",4,5
"333","Wolfsburg","Bochum",1,0
"334","Wolfsburg","Dortmund",1,5
"335","Wolfsburg","Eint Frankfurt",1,1
"336","Wolfsburg","Freiburg",3,2
"337","Wolfsburg","Greuther Fürth",4,1
"338","Wolfsburg","Hertha BSC",2,0
"339","Wolfsburg","Hoffenheim",1,2
"340","Wolfsburg","Köln",3,3
"341","Wolfsburg","Leverkusen",0,2
"342","Wolfsburg","M'Gladbach",1,3
"343","Wolfsburg","Mainz 05",7,3
"344","Wolfsburg","RB Leipzig",3,2
"345","Wolfsburg","Schalke 04",5,0
"346","Wolfsburg","Stuttgart",0,2
"347","Wolfsburg","Union Berlin",4,0
